AK.	Amarakośa
Curt.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Curtius	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Delbr.	Das altindische verbum aus den hymnen des Rigveda seinem baue nach dargestellt— Delbrück, 1874
Delbr., Gebr. des Co. und Opt.	Der Gebrauch des Conjunctivs und Optativs im Sanskrit und Griechischen— Delbrück, 1871
Delbrück: das altindische Verbum	Das altindische verbum aus den hymnen des Rigveda seinem baue nach dargestellt— Delbrück, 1874
Deutsche Pflanzennamen	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Deutsche Pflanzennamen vom Verf.	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Dhātup.	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
Dhātupāṭha Westerg.	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
Druckfehler der Aufrechtʼschen Ausgabe	[Misprint in Aufrechtʼs edition]
F.	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Fi.	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Fick	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Glosse des Hesychius	Hesychii Alexandrini lexicon— Mauricious Schmidt, 1861
Goldschmidt in Beitr.	Etymologien. 1. chromŭ - srāma; 2. juvā́ku— Goldschmidtʼs Article in Beiträge zur vergleichenden Sprachforschung
Goldschmidt in Beiträge	Etymologien. 1. chromŭ - srāma; 2. juvā́ku— Goldschmidtʼs Article in Beiträge zur vergleichenden Sprachforschung
Gr. gr.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Hesychius	Hesychii Alexandrini lexicon— Mauricious Schmidt, 1861
Hom.	Odyssey— Homer
Homer	Odyssey & Iliad— Homer
Iliad— Homer	Iliad of Homer
Jenaer Literaturzeitung 1874	Jenaer Literaturzeitung 1874 [Jena University Newspaper, 1874]
Johannes Schmidt: Die Wurzel ak	Die Wurzel ak im Indogermanischen— Dr. Johannes Schmidt, 1865
Justi	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Handb. d. Zend.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Zend.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Zendspr.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Kir.	Kirātārjunīya, Calcutta ed., 1814
Ku. Beitr.	Wechsel von am und u im sanskrit— Kuhnʼs Article in Beiträge zur vergleichenden Sprachforschung
Kuhn in Haupt Zeitschr.	Zur mythologie— Kuhnʼs Article in Hauptʼs Zeitschrift (Zeitschrift für Deutsches Altertum)
M. Müller	Max Müllerʼs edition of Rig-Veda
MBh.	Mahābhārata, Calcutta ed., 1834—9
Mah.	Mahābhārata, Calcutta ed., 1834—9
Max Müller	Oxford Essays— Max Müller, 1856
Max Müller the sixth hymn	The Sixth Hymn of the First Book of the Rig Veda— Max Müllerʼs Article in JRAS of Great Britain and Ireland, New Series, Vol. 3, No. 1 (1867)
Mitrahymnus	[Hymns to Mitra (and others)]
Müller	Max Müllerʼs edition of Rig-Veda
Naigh.	Naighaṇṭukakāṇḍa [Jâskaʼs Nirukta, sammt den Nighaṇṭavas Bd. 1— Rudolf Roth, 1852]
Nir.	Nirukta [Jâskaʼs Nirukta, sammt den Nighaṇṭavas Bd. 2— Rudolf Roth, 1852]
Oxford Essays	Oxford Essays— Max Müller, 1856
P.	Rig-Veda Padapāṭha
Pad.	Rig-Veda Padapāṭha
Pada	Rig-Veda Padapāṭha
Pada bei Aufr.	Rig-Veda Padapāṭha, Aufrechtʼs edition
Padap.	Rig-Veda Padapāṭha
Padapāṭha	Rig-Veda Padapāṭha
Pauli, Körpertheile	Ueber die Benennung der Körpertheile bei den Indogermanen— Carl Pauli, 1867
Pet. Wörtb.	Petersburger (Sanskrit-)Wörterbuch— Böhtlingk und Roth
Prāt.	(Rig-Veda) Prātiśākhya
Pāṇ.	Pâniniʼs acht Bücher grammatischer Regeln— Boethlingk, 1839-40
Pāṇini	Pâniniʼs acht Bücher grammatischer Regeln— Boethlingk, 1839-40
RV	Rig-Veda
RV.	Rig-Veda
RV. Pr.	Rig-Veda Prātiśākhya
RV. Prātiś.	Rig-Veda Prātiśākhya
RV. Prātiś. M. M.	Rig-Veda Prātiśākhya, Max Müllerʼs edition
Roth	?? (Roth, in his Nirukta ed. 1852)
Roth Erl. zu Nirukta	Rothʼs Erläuterungen[Rothʼs explanations] zu Nirukta
Roth Nir.	Jâskaʼs Nirukta, sammt den Nighaṇṭavas— Rudolf Roth, 1852 [Yāskaʼs Nirukta]
Roth zu Nir.	Roth, in his Nirukta ed. 1852
Rothʼs Erläuterungen	[Rothʼs Erläuterungen zu Nirukta]
SV.	Die Hymnen des Sâma-Veda— Benfey, 1848
SV. gl.	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Spr.	Indische Sprüche— Böhtlingk, 1863
Sāy.	Sāyaṇaʼs Commentary to Rig-Veda
TBr.	Taittirīya Brāhmaṇa— Rajendralala Mitra, 1859—90
TS.	Taittirīya Saṃhitā— Weber, 1871
Text	Rigveda Saṃhitā Text
VS.	Vājasaneyi Saṃhitā— Weber, 1852
Verf. Deutsche Pflanzennamen	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Verg. Aen.	Aeneid— Vergil
Vop.	Vopadevaʼs Mugdhabodha— Böhtlingk, 1847
Weber, Ind. St.	Indische Studien— Weber
dhātupāṭha	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
ms. Chambers 60	Chambers manuscript 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Śat. Br.	Śatapatha Brāhmaṇa— Weber, 1855
